,Choose your track,1- What is your current level expertise in computer programming?,2- How often do you code or work on tech related projects in your free time?,3- How often do you keep up with tech news and trends?,4- Were you willing to learn and work with programming languages?,"5-  Was your choice based on enjoying working with visual elements, such as layout and design?","7- Did you have interest in analyzing and studying user's behavior , needs and challenges?",8- Did you have a strong background in mathematics and enjoyed solving complex mathematical problems?,9-Did you enjoy working with data to solve real world problems?,10- Were you interested in data research and analysis?,11- Were you passionate about data analysis and deriving insights from data sets?,12- Did you have interest in using algorithms that can learn and improve from data?,13- Were you interested in server-side programming and building the backbone of applications?,14- Did you have interest in creating innovative and creative software?,15- Was you choice based on using mobile apps frequently and having ideas for new ones?,16- Were you concerned about the security of digital systems and data?,"17- Did you enjoy learning about encryption, firewalls and network protection",18- Did you enjoy creative problem-solving and design thinking?,6- Did you have interest creating responsive and interactive web pages
,Front-end,Intermediate,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes
,Front-end,Beginner,Weekly,Weekly,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
,Back-end,Expert,Daily,Weekly,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes
,UI/UX,Intermediate,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,No
,Data Science,Beginner,Daily,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
,Mobile applications,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Rarely,Rarely,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
,Mobile applications,Beginner,Rarely,Weekly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
,Data Science,Intermediate,Weekly,Rarely,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No
,Front-end,Intermediate,Daily,Monthly,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Back-end,Expert,Daily,Daily,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
,Mobile applications,Expert,Weekly,Daily,Yes,No,yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No
,Cyber Security,Intermediate,Daily,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
